UserOp Hash,Submission Latency (ms),On-Chain Latency (ms),Total Latency (ms),Tx Hash
0xfa054e51b5d827858bbf2fdc37201d6dd265c47b32628c5f85e62948d647987d,1297,881,2178,0x046473340eb983a70baf8063a5d07d20963cc5c9863ceccd10d4af15f130312c
0x0c3e0cda3a1afcc8afdc1c854ddfaa68168be1aaebe1c35473b6193f1da8ae3b,1015,2007,3022,0xf6bb54ef6b412d1d3b89414e4efb017f81d5272609f26f09a79a8865d93efea6
0xbfdd62d49ba080b483886bdd1deb4752cc9a73668c2a0563bb084bcca2ac6c7e,979,12447,13426,0xb69d11c2621c811502cb2f73a581d9e2ef7fa5aac9a47fe231b361bca6a2e785
0x6e447b9c8c0a6ddaed5abbfaa9b9f9a0b29d3916a27f9e8293bb30e0b98bac1f,973,892,1865,0xd815aac877aa2a3c128b2a4a58ae9b6f1df28989af74bc7018917323e755b4d8
0xa2930a2fda39746265749b0ef15013501950493b646eac3af4a15c892ecbd18c,971,1381,2352,0xb97b84408c54c2c4eb74842dd30a2b9deb9109105e9dc98d206d77f9368e28bd
0x63b605db2822274948390f4364277d28af9c1bc835ed2e0e2e924a4194291363,959,1955,2914,0x592736b09a8ce5d1b2737165366870641da94f2ace1cdd9e8cc5c4f20692157c
0xc35034f52b1e0db88cb2ec952442d505156c822c4adfb3080532d36e3ff75969,832,2636,3468,0x5f7ffcec704b2b31469cf1f556e631550def06c7c91caf80a38654d415366755
0x1c815123c4e8f16ac3d4420b7d8c6a466b4920476dc892c717ee7f3c803c8b93,1050,1067,2117,0xe227168fa491398ac4143c1257fb5a0bea309647e2176f90b93f6f5e65661b14
0x35307b38705357428f9804579b92af0777c80e3d69883ebc13b0acb7089d5c3c,955,1562,2517,0xd4a2395da28943e695b1cd22774479b3c9d0aec5ee4d284d14310a29b3e44d53
0xbb4361f840dc3ffa0960887987ea3f4d806b0a0c89817a192b6657fd7adf1f9e,879,2007,2886,0x0b490d84bc1aa71bed7bf8de580e592a0c8514aee90a28fcac1cacd1f7c7055c
0x6ee5402b1be83e4a42de470b03946e7000067bb51b1290a9ba8fdee49a83730e,1032,2471,3503,0x77f3674cb54fbd8bb9dcf669b9ca6af1ffe28caf195ecb126c00b84d1425a2ab
0x885a59261484a1721dbb36a1039a14f887b5fcf6d42b0810e7cf364d7e5f5620,989,882,1871,0xa23dd045b808b624ca7520fc3bb5904544264f29f0314a486ff9fa183b21e243
0xd5e046b2c919f026bb78386e52191a6eee8ad405ba7adf27c8e67ba02deb8aef,972,1365,2337,0x0ea07b0ee200f5237b22d34e426479aa70a2a33cc240f00e6a10b6d738606b2a
0xbbcc34881c2fad430578b7b6ef92e6f965d5f16dc493589bacbbbd67c3c5f997,824,2085,2909,0x15077ca1874f9d0fc5ee5174cbb4b106888fcaa15347ca7ed83b7b40cc9d8811
0x54d268d29948f1dcd4d64b3243a02ec742fa0feaca4d0c48830c1c879ec7b58e,1020,2567,3587,0x9934e89e6236f7ea5ef19b7558ef3a17729e2cf4f8c1b6bfe2241bf7fdc6e470
0x1a50d73d08905bfafefd715c3a7bc5be0aee082e42c9abe72ebadac7a8b72621,859,1140,1999,0x99015717633b2d0b908b6ee62c54ea692e08c0f97511e00f162e537c227f4c42
0x7eb5403bfa8eedd7854febf4a7131df050c79644479deece63c241a20fa4c6fc,875,1805,2680,0x848fdd987d79e9800702c116554295cf39db9c5cbd22e471f2374a1d56a4759f
0x7ef0b215e9c2d38515e024c85e6982a6101156262a0c1495cc938e26d503248b,877,2039,2916,0xadcc098662c8195795d636c2f3f731bae1a2e9bddd4bfa250ff676c2159448a5
0x355ecec916568427238c103be4bdf7778fa93db81e63f0a648f7aea44fba35c8,1060,2473,3533,0x0c03055371fb7f4e08f829bf3253185b2e0b4a8f963af387ec2ab0d1b102ae33
0x1bbed3aa46ba85f047dfa2e0808f52cc65900dddd935a1df10414e1591a49642,893,1085,1978,0xf1c70534547de159ece70076d799750c2ac455315444ef6b89532528a79dcc0d
0x0dfdba043850fd370dec7bf9e32a2a0faf442ec54ba2ab7de2b005df874dd7ef,980,1584,2564,0xbe2b38586231789503ae56a1fb1f35cea809d7b8c5f1586db530a3360a20a60a
0xf54858fac98049f6952300e5c236bd250a63005973f626db704af5c6911f5469,909,2146,3055,0x159db4a00a8c9c7c08a18085b3f1fb6f8d1c8020fa01587c2ec7b13447285aac
0x7e0fb15181592057b1ca088adde1b514638f2adcb91c42655642217524c5e61a,968,2642,3610,0xbbedc83e3d34dc39975b376440ff492ccf178f8a94a283967a6b846dade23239
0xded0dad5b59877346a815c0df5a7dddaf35db386dbe47146d07d4c36f2376126,833,1263,2096,0x6ba3d0ebcbbff238c152ae00370422f5a720963b2d157ee0f1fbdcd8a2bf92ab
0x5df668274166345949af6633dbb45d1bbe7209e5ee776f2e294f45f944391398,969,1737,2706,0x07f0358157b8db3a55680a1d1ab91c3ab43e46df4516da37cb7b9f9445d703e1
0x5002c27ba096953e7f97646823e274c77125a8ea27417d6e1f4cd48e57e12778,1184,1942,3126,0x52e380a830e4d9ff470cdfbae656faa0839c9afbcda6f7352b6ac861d67ebe51
0xbabba43ae63f2d7be22c4f9ed6d8f84ec1a59df9c860db68aced9ae6ea19b41c,971,2369,3340,0x6954afb9fc9e950776e9d3c9021c498d0145c1000b6e83ae111582529a351ded
0xd2c0fc35766bf36a24569cc38468b53524b67a1dc6c77f9801efb110efc442eb,1005,2692,3697,0xa0cd37d2fab7582c96c52022080c97d83ab73dacbe7cd3cee93fe6abda13ddf2
0x93912f34555d3dd8d3e0f19f9325dc8f3d6eac4c7d69e07b834db007ebdf8e42,875,990,1865,0x5039b00ed365bfa89949eb81d65c0b91218e986cb5a8c8f8f853dbd5a104ee08
0x1d08d4976bd07cc76aff8ccd2e003f46448eb304644eb039b96fc43d6d65d861,1205,1782,2987,0x5f8b1a482c0ea14cab58979b595329b065bc119f1a1acfa185b81a4527010c02
0x97d2d04afa3f72ce025856ea0553f8486698dc98ba6e7ed2985d74a0b7b88aa2,929,2308,3237,0x0ec229839aa1939fe05cd52db1b273f2699d975e79c309c766a7af25c473e634
0xa3fd73cf1be1257bd293261c1590c671bd5479a52317b4732be15e5aa564ea93,1027,717,1744,0x7e36fb025f4bc9b1b210e99f930812adc1969592a0517cf0a84427377216c254
0x6b873b9847a5224f7ac25bfbaa2dbc6272f0310b9278daf93cb59cb44ed65783,1093,1088,2181,0xb74caefd55a8c8a6140490c49c624393bed8ba775275845a7d09c2686a23b14b
0x84fcfc554c26673e83ed30730d3cdd2bb663294200b21d447d672637652d035e,902,1564,2466,0x14eff273926d78405b00448d7ca16a65a080308c5a7eab9894c5b02d3b32dd8b
0xc3f99b9ec84d309a7b5bdc1648a2d7a1fb2d72afc104373c401b82f1ce3fbdb3,1110,1979,3089,0x0f0ba808775c15805912643fd460c0c921705d3305be2d09311ebcc120e33c11
0x5d2edfbd23dfbf06474e315873ce9eba929f05eeaf2b1ca700799b32a26355d8,956,2310,3266,0x65bf5977ed4cc4ecaa6076ac9c2e4945c0660e67572b4435f9c410fdefe63e51
0xe78741c842e3362abb3132042c65723efb35db09e6d1078384bd3539cc2e9d2e,944,2719,3663,0xaf8de6be556ca5f37ba353a691395415ab84bbbac1aa04bfc391a0e88238b428
0x6a7102a838d86207bcaf45ecef96fc62f5ea4823b028fb8f7f86956c949d50d7,978,1161,2139,0x26794dba6849aa6934fc9fed643590b9efd1fcc331d357c4dbd289330014d96d
0x44400a1a67ca5c4f9b83b322391303f7d09e672738c3511d72fb2875da0e1924,1011,1575,2586,0x1cd085a45bfe3e14545116357e315e7590f4ac9fac25e1cfe313e585779362ca
0x9ecc3de43ef458ae88f0993b396d3466f1d5be33bde72212718e98e337f4b583,693,3193,3886,0xf76212859f6a271485bf6324b7deb8c1620a2d8fb2efc5dde12ba3fe937ecb3f
0x77a8806bb6bf42a7445c1c48231c2c1e79300def6a417ea286b03274bf767d32,960,1654,2614,0xb62fec5b32851b648754784dd49ac8a15c095fbe3655d96a37a93277472fac2f
0x632412a843f3f22d0bb18d68d9a6be851de27c4d0d2b7947f8df9330fb83a4a8,1062,2059,3121,0x18273a90b747866b5407434ad18f7169b37b90359c8afc9d0e326c1f926a762c
0xc406f9af2b8f75ba455b3d6680b305e6f653bb6a264900801c95c159868ef4d5,879,2683,3562,0x937a44d19aa3ef66bf47f860f163b79f0c51bdc1abccf69f833c4c9c0f063f6d
0xc77ce92b4c06aeedbdadc5e80e91aa9be98814b3f1bc51266da98782f803ff93,835,1375,2210,0x6f0dc7570a0ba66c6caa07d43ee2c73371db6726913427d81cfb18ed844113c5
0x4f226ffa1987c218e552fc73af862acd5f8d28500d9275d1fca340f8b56e0696,974,1879,2853,0x9ad7d9ff6cbbba464a4578513cfef89ac8e3940ea267d42f3cc7a58cb7df091a
0x174336f256649e487e5ea282cf4deb7c0807affd95df588f073bf3460515a6bb,867,2252,3119,0xf9204ecc7a7133e7a7c2215b759d9bc9ef855a00d6f07c5fafcbed6248f5ccac
0xd18d20daa0dcf2c70e2acbfc949fc80f49dcd7c7acba5f838a8f595dbc2cf2cf,887,832,1719,0x1777801a97bf1017cd6ef2973b10333a62599d4a4ca546d4eb3e7e22af59570f
0xda709f7e1a126a06666aa3b9f1d49360a42ed7f5e27c757b7941d9999526fe56,899,1389,2288,0xed6cdcda80c10356515f5ee06a0314763af7457c4e77233a749023b2902aaa5e
0x01ca49dfef39d8244910a70d211a55feb409d4f2fca46aa1b359c30acd2169c0,1035,1819,2854,0x83d210ea17a77619f59459ff2b133ff83b4177ddab8269faa7a26cd1957eff9d
0x4ab3ad444cb2da78ad81201a45765102d447f92c97bb0565e6ebecb285b10b26,902,2169,3071,0x67fbbaf1db8f8a07f81c3f2c2f04a546f1b4de1ad17952faa0e22b3808dbf907
0xe8bd9a2a0840178c89a67f2a41077431de6afab673478111557a461398cddbef,1275,2363,3638,0xb65868b38ca69bec52391857fbb1c0ae07594cf18a1f988d4bf76e8f6ec0c793
0x9eb83cf60066b7c305167d890b346affa1abd403772b7e5d11a96ac0fc73e7d2,918,954,1872,0x24d3d61daf9a50486a52c507c345fd948f7d142fdd29ed4075a1d6c6bbd2448c
0xf921eb18ba50d696bad5a7c680e4decd831d63e7e7fa0d0350f0297a4f9a2ff1,870,1595,2465,0xbd24214341592b494899c47a6bf9a5bbb55456b853c08985df0a8da081224d45
0x0c070653dc4c03122d9f79e292329a21c3818e42811fc95906e87af4bf835059,1564,1510,3074,0xd5967e53e20083504cbf7186c7571dc073d6df68a6a982e8c9070f2142743387
0xf49fcd014bdfb287622d1bb4e099e22a6efc91e7b9d5622724eb572d251aeef4,845,2186,3031,0x0bf06706c2b0c94041be55613576caa9cb550b8093b153bb7412b7fc3c361dde
0xa0351efa89b4980f9fa8e77fe9e0ace797d2d182f2a3b83abe1d05bb7e3e28f7,851,2827,3678,0xf5a7c8b642b1f2db37b6f35aba556fd9505664eaa2242e8a69c99d7efa49ccdd
0x5479bc55801c7c05762391e157b76e570ea5d43de55fd3410a5bbeb574316eac,928,1336,2264,0x9e0d8b37a92e468d7abefc8e59c348a95b6c3d761e6b9e9f1fdb1d818b120d49
0x158496d73bbfef26f38fb98927562c753ee4fa923e66dad5c24ee1ac9222941d,1030,1724,2754,0x884bf99adb5a30e8d417825cc362931dc4ee336e445bd3d56dc452092b022d82
0xe5c13290362afb7e02928a5ca556fd191dc93d54ac420e95c9bcabc6a3d52d7c,860,2323,3183,0x6438bce03fab36a88dfe10d5f761e7915c5ebef872f1748bdc772221e8e6b25a
0xe40a05c88d67daad5ff513714d19571ba6b0006750075b94b3026d096634f568,904,2894,3798,0x3822157cb4d331a644387f784d3cbe91a8071c614e5737077856efe76e9e3522
0x915523476dcd3069d047cddcaafa78207b8161c31160601137cb3b1d020ce8e6,891,1522,2413,0xa785219f3d8ffb37b371c48f67150156ee0b652d330654c3025c51a723342f39
0xe40e9d8095223954a98df78f63af7ed3120245a1c475b7e4c34db6923a244cb0,850,2167,3017,0x69f688e3fc0fd57480c15a3308b5080571da37099a923cdf79a00d1cf5e37e90
0xe3e27f00b3a5409f29ea8638f4993d6dc6a1ee7f962092a3be3f336cb6cdc72a,963,626,1589,0xf7937be9ab2822ba60ff253e7a2139079c01fdb681e322f258ef826adf1322f6
0xb5d335ae951179bf6c550f8f8e498c4fbffd210d1cd6f3e326c6803f604d1b57,888,1207,2095,0x6711e77eb8006b794c362c486ea04732d804d018fb5dbcfb02a41d51dc577786
0xb36cd0e7e1cdd2bdd007fe5f8b92b70339dbfa9d8c8cf587663294d611175a45,978,2010,2988,0x0c134687dddd5c0af55d67e523eb4bbda4da59cd7abc951c7d3cc151ac8364bd
0xcd7d494d34d85c3a20a627f9a86909634697b324605eeb44e55a5ce67e516622,1129,2350,3479,0x891677dece8b3cd6112dc721eadb3b8388c0e674615115dc31d348f4e3ad6663
0xa9f5e698c114afb8aa30afe7b900e34b33677b2346a8871dc9b5661d0f01a2bf,854,895,1749,0x21406926a39b0af64f24380dfe0b9d14415f256b054f1787e05c846fd0866c01
0xf25f2a5a7310bbb1643ac8f8fb64e5c4508b447481bfce20c57ec2efaf39936a,1015,1393,2408,0xbdaf86df8349dfd88143c3926a836ffef7cb9f2f09edeb9fd9615f72a7fd831c
0xc2151c9b500c86d27c6850840413271b80f774d93e91454c9a318cdd42602b66,1003,1878,2881,0x73e4731cf87f639a62cf066be1ab5ab6f863ca889d9a0eada617d6e7332319ff
0x242d02434610d8b07c79064338976d8a33990153602fd2dd172150b39742f6b5,879,2478,3357,0x348a6f1eb871e83b6d9957f819b58dc44faedbc2507e0ee03b927fb2906a45ef
0x74a6f4557ad0677f435613f82936ed79d0b4440e9bec203fa57f2fc53bf6f5dd,918,908,1826,0xf31eec1def80f07783ab660c15ff5151c39582d97043ea3e371e797e11272e12
0x0d2e6614d0cc284519c06ba8b1fba9fbb30638b682905b78c75c50404295bae5,935,2058,2993,0x8f82170ca129de7f56d5bd838615c080b6bf585c2c6cd3b0a2fd1034f378d2de
0x201702e2e0949f7abbad8201c14240a374512962f8577e8d3af9395c362b32a1,1173,2362,3535,0x37b3ebe4d7a3f8108e571e9b7af1749041c78928eb3e111f8aacb69dd0e7f9b7
0xd1bab01609003af3f357663a3e42e98d36c1010c3b205ff9a3ebe9ef2b21caf8,1173,684,1857,0xe7a34c5a0b2b2e3a4d70f7cb5f9c592691c00da6ddee359a9ef6bdccd6a5db71
0x31f9456160f2187e873d35631573ce4b44eccef0d0d60613e9c9a42841e16433,976,1175,2151,0x7b196244b223787cceaa8edf8c2afd52bc3692ca4228a34156cc2a6b49de21bc
0x0b19f0ea51dacc454eb016d494f4a74f1d94a56ea7dd12eda3e4bc4527804aa6,1154,1430,2584,0x5689bf77e80bd77f1d91f7a7f1a5f70b3909efdcd114865247b062743decac66
0xd9ea04cddb764528aabd60d558c65b715677143cfa1ec869869c84b672c3dde9,891,1920,2811,0xc4f4966b8bfe1bd85b6b7674b58b7b6639c2da45624c6216ada70665347bf66e
0x3005e36dcfff8def7728f6f91dd68a156f2efec2dc83b727924ec2d2d12ba1e3,952,2468,3420,0x08deb938db90aee1f369d0dc1576ca5089c51056125a45d7e57d996410ac96d5
0x71c07c581055dd10649d22d04501cc9dfb56315f1511d55a1a8c6a4f2912b29a,943,944,1887,0xf29f540148b30b4cce33b4a93a198008f2bdf60f899ccbf4cfb46a463bb74f6b
0x9e93522f00a486f4f3d6e248afe6d607d29e6153da48ee603f1e83237aeb4bbd,999,1334,2333,0xa565f38f7eb7a5549aa9b6fb0fc844920c297d3c739b3ab620d19666d79fe937
0x2a13938fabc852b48bce91f7440b582257416c92ebf8a9e3d4a2f2ca695975fc,1072,1650,2722,0x25110ebfe0a9ad0b465cda8957c0f1c2c9754dc47b5676823b1765398df444d7
0x793a5347058ddc6cb55eebdd3a27ab2708c1f6425d3ac66cffe47e2c7d7f9c42,1121,1675,2796,0x2adc503abd843d54eaeca39ed984725e3c7dddb15c03e2cfa83b43bf7b2e18bd
0xb830d990a6d18b1c9976d1c85413cbfdcb13150bb6db6c00dbc512ea2cc67183,1267,1642,2909,0xf0c1df04b8cafc6671a713e239d4d98b917bdb58cf0afa654aa1d9f389a22b32
0xd86154501947e03ffbd1a996623d4ca6887f18828b8f669225446a12e1ee2d93,1138,984,2122,0xe8a132e9bffc02b936d1481afa8bc002acb419e1db1d5869a6cd61528192b333
0xef2069be148e9c0db84e1b2b43a56e4558b025baafb96cb0ac1761a97e836714,1244,1248,2492,0xf7d0635d06304541b9334dbd042836093422958f5b1c8878adb3709f8d24c488
0x3f2052adb21476dece02a4f436768f4a0d58473e1df4befad22c617ab4657c70,904,1787,2691,0x29b92960e319e58ded4ce150bbc7d5b0491a7a9c311b46834575cf537990ea02
0xf2830c4722f3cbf755fbf25959b05d49b901b1d340e99da5727a674e1ce5b26c,1400,753,2153,0xf38dc54e844eb1adf0c60bc03ed6cb0ffe0cccdc164038142cbc3f7d17b5ff6c
0x03c25e977a5095b5b7d3b076cca4133a02aa3bea5938c7d6d0d2bd09851a5db4,1152,813,1965,0x0db5a4796a312223831a34b985068d1dc35cd5afce180247e3f0ae72319ec4f0
0xaca665a22752e16a0d44038284c09797e3cff2bd1b4e9c7c03b7ed40a9a513f6,913,1404,2317,0xe950cf238338e398ae6392379b69c20a743040b717da5c595edc9739c6995327
0x58ec47c7cf27eb2e6b023652f39a7230cd81e91aac60f3dbcfb6f9517737b622,1080,2189,3269,0x262cda112f07f3bf07ef2b74ed841b02fe1680339854b615a1e7bd2399aa4e9a
0x7b21dfea7ce5293c55c03ddc0a059216f0523cc404c8d68f61ec10fc60547d13,1003,2637,3640,0xb0a034857c7dc47ee26f1fa84610a250c6982bdf07a9c1437284638b3bd5e32d
