Bundler,Submission Latency (ms),On-Chain Latency (ms),Total Latency (ms),Tx Hash
biconomy,906,1679,2585,0x98423203874e9a61b5f38de77014e2cd3711de5fcea287d8f28d7be9f9253af6
biconomy,616,2143,2759,0x3c9e3477e07da0173168c6dea305c0dfefbb8d1b3fca263f94847a9b343c967d
biconomy,544,6405,6949,0x26ade18590310a3aece1ec9ab2bbf65396731047e0230f936b8236c4b4799dd2
biconomy,572,2574,3146,0xdc051c01a5c01d5633a9a85b5350bbbb07e33df12560af14fc7cec531346608b
biconomy,483,960,1443,0xd77e7ec625991cb0f262f344d7fbcdc1690361442e4cbfd4459bb5c77b9430a8
biconomy,674,1313,1987,0x1efb7a5e48bd98639f4bff38926e9e8ecb0211cc34dda6300ddc63c312dd51e1
biconomy,697,1476,2173,0xc8d9eca13665a518abac4bec676b5eaa04f6ad54c32ec9fb3fa355b22207f986
biconomy,599,1982,2581,0x0f66014d5dceb74fdb9ef1a5ffd2a83bbad4c5d2560ad0ab969b5633a39da5f3
biconomy,581,2529,3110,0xe7fe6f7e859ee464b2e03e16e91157e897d4f4f1308c4d5d6f9acef28d34c11d
biconomy,582,2813,3395,0xe83c292c26adc9d1b26ba57703fff10e524af487c8c0b863b9ecae0ea961710a
biconomy,576,968,1544,0xcafab73457fb45852823eda6c8d40e83ec653cc75258faf09ab81ef3e4ff961c
biconomy,648,1430,2078,0xe588ae476336d5c8e610ad37faf6735046e0a88a801e63dab94dc3c3600c93b6
biconomy,494,2009,2503,0xa90c8d6f5cbd087031176eda5ecf86af0396f5c20a0d81af6de93170275f104d
biconomy,587,2472,3059,0xbeeff57ed7066117bac2831d4786390754712fb7c9dc1e8aae826ee765927d78
biconomy,714,634,1348,0x7070f15f3f69b0a4b3608b5c146dd833e499214bdfa0a941eaa631ad1abb6146
biconomy,676,902,1578,0xe2a8fb5052ca4be3d482516302e29986d6e317ad4062158ab100d0b8fffdccfe
biconomy,586,1354,1940,0x3f80aba9c7a4089333619e45ad5cf372cdced94f86958e7931b2d38c96fb3302
biconomy,595,1737,2332,0x0cd76024292f538a041ae9dc24990231223cc4a7422a73752a1a031e24ed3072
biconomy,559,2416,2975,0xa06f92cb68336586d0e742ba42c10463b047de330fb077df306836074d541d9c
biconomy,1914,1479,3393,0x6a9178f83bc53faf53a6761f2129810b86caaf34f183a88674e26ff2ec1ee84f
biconomy,671,1724,2395,0x134194b879e273a4a77ffa92299f07c399afb95d953f1986075dcc7e88926492
biconomy,582,2195,2777,0xb79df0bffef9bea76006ccb19aeb42377eacb96b4751084db4ee09cf45c20294
biconomy,681,2665,3346,0x7d0b0ff2f3f5dc5fe2bbf4cd9e3a52c8b311277e5513cfd054a8a41dd134b4b7
biconomy,695,2732,3427,0x738973259700ea47254b90df987a42ae478f5f7aa9eea9597de485332c5f7448
biconomy,581,903,1484,0x0461b48595d25b4ddff6896fd50adc2680d37e68bc469fbee12cbadddd91641d
biconomy,514,1503,2017,0xd7d316632fd9b28efd067f2b17ebfaf2d2057c2a0ae9b808126f03aac57b1c04
biconomy,644,1827,2471,0x6ae3b69506db1eb466e11486e6dffb7200b1a179421aff9937e630076f59faaf
biconomy,625,2210,2835,0x65697d6bdd216eec6070f7f316bc085ef68a9577bf91b81e35f3b6722699b2e5
